group,metric,n,period,post_sig_count,post_sig_pct,trend_sig_count,trend_sig_pct,post_pos_sig_pct,post_neg_sig_pct,trend_pos_sig_pct,trend_neg_sig_pct,post_pos_share_among_sig,trend_pos_share_among_sig,mean_coef_post,median_coef_post,mean_coef_trend,median_coef_trend,mean_coef_post_sig_only,mean_coef_trend_sig_only
Javascript,gross_churn,65,weeks,5,0.07692307692307693,10,0.15384615384615385,0.015384615384615385,0.06153846153846154,0.046153846153846156,0.1076923076923077,0.2,0.3,-937.9706687779901,-108.24136696406977,227.34145117290637,-1.865019691410159,-5971.061817516905,-82.14870673258137
Python,gross_churn,42,weeks,6,0.14285714285714285,4,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.023809523809523808,0.07142857142857142,0.3333333333333333,0.25,-1239.1871592914042,-384.67482313415655,1367.1442708199581,-43.834812197045665,2608.618198860347,-608.8402508773795
Rust,gross_churn,8,weeks,1,0.125,1,0.125,0.0,0.125,0.0,0.125,0.0,0.0,-3046.4789415573387,-2241.592804941566,-507.699127302639,-136.8613126015349,-6381.765816650165,-1624.69027332184
HTML,gross_churn,32,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-231.96097600450418,-5.352360593608157,19.39232519518466,0.6455178530662243,,
Go,gross_churn,12,weeks,0,0.0,2,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,,0.0,932.1118659843279,-90.24774519658823,-360.3373560368097,-40.52058475585013,,-2459.541588752944
Java,gross_churn,5,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-554.0701452976496,-379.0113635696693,-71.33458585754866,-68.97850209054477,,
Ocaml,gross_churn,1,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,1367.4630744987778,1367.4630744987778,-1620.8860622505795,-1620.8860622505795,,
Bash,gross_churn,51,weeks,1,0.0196078431372549,2,0.0392156862745098,0.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0,0.5,-26.239834481947867,-1.4762922618814147,-9.669079371203612,0.06036912028416854,-19.288860680090426,-31.401406830045875
PHP,gross_churn,2,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,2395.6600568408317,2395.6600568408317,-900.7534632469022,-900.7534632469022,,
C,gross_churn,15,weeks,0,0.0,3,0.2,0.0,0.0,0.13333333333333333,0.06666666666666667,,0.6666666666666666,-561.4949843211032,-30.206238596129015,-108.38448826369239,-7.280459325522112,,-51.80404809856794
