extension,file_count,will_include,grouping,description
"""bash""",41,FALSE,,
"""eot""",41,FALSE,,
"""backup""",40,FALSE,,
"""pem""",39,FALSE,,
"""icns""",37,FALSE,,
"""rmd""",37,FALSE,,
"""pl""",37,FALSE,,
"""bam""",37,FALSE,,
"""saiku""",37,FALSE,,
"""exp""",37,FALSE,,
"""avro""",37,FALSE,,
"""mll""",36,FALSE,,
"""nf""",36,FALSE,,
"""npmignore""",35,FALSE,,
"""jsonc""",35,FALSE,,
"""gradle""",35,FALSE,,
"""bicep""",35,FALSE,,
"""ics""",35,FALSE,,
"""gif""",35,FALSE,,
"""cu""",34,FALSE,,
"""hocon""",34,FALSE,,
"""diff""",34,FALSE,,
"""m""",34,FALSE,,
"""man""",34,FALSE,,
"""el""",33,FALSE,,
"""itermcolors""",33,FALSE,,
"""ds_store""",32,FALSE,,
"""hbs""",32,FALSE,,
"""rptdesign""",32,FALSE,,
"""caf""",32,FALSE,,
"""list""",32,FALSE,,
"""db""",31,FALSE,,
"""data""",31,FALSE,,
"""prefab""",31,FALSE,,
"""proj""",31,FALSE,,
"""vcd""",31,FALSE,,
"""tmpl""",30,FALSE,,
"""nimble""",30,FALSE,,
"""se""",30,FALSE,,
"""typed""",29,FALSE,,
"""golden""",29,FALSE,,
"""nvmrc""",29,FALSE,,
"""hurl""",29,FALSE,,
"""entitlements""",28,FALSE,,
"""xcscheme""",28,FALSE,,
"""expect""",28,FALSE,,
"""mol""",28,FALSE,,
"""fastq""",27,FALSE,,
"""zst""",27,FALSE,,
"""sty""",27,FALSE,,
"""asset""",27,FALSE,,
"""inl""",27,FALSE,,
"""eslintrc""",26,FALSE,,
"""tsv""",26,FALSE,,
"""nojekyll""",26,FALSE,,
"""gcg""",26,FALSE,,
"""pbtxt""",26,FALSE,,
"""gz""",26,FALSE,,
"""flt""",26,FALSE,,
"""xproj""",25,FALSE,,
"""clj""",25,FALSE,,
"""python-version""",24,FALSE,,
"""eslintignore""",24,FALSE,,
"""ttl""",24,FALSE,,
"""mk""",24,FALSE,,
"""cmm""",24,FALSE,,
"""jpeg""",24,FALSE,,
"""input""",23,FALSE,,
"""webmanifest""",23,FALSE,,
"""nuspec""",23,FALSE,,
"""manifest""",23,FALSE,,
"""cshtml""",23,FALSE,,
"""tmtheme""",23,FALSE,,
"""sbn2""",23,FALSE,,
"""spire""",22,FALSE,,
"""t""",22,FALSE,,
"""http""",22,FALSE,,
"""precheck""",22,FALSE,,
"""vsh""",22,FALSE,,
"""dll""",22,FALSE,,
"""excalidraw""",21,FALSE,,
"""kts""",21,FALSE,,
"""mlp""",21,FALSE,,
"""prefs""",20,FALSE,,
"""storyboard""",20,FALSE,,
"""checker""",20,FALSE,,
"""snupkg""",20,FALSE,,
"""pc""",20,FALSE,,
"""sdf""",20,FALSE,,
"""serial""",20,FALSE,,
"""fx""",19,FALSE,,
"""cljc""",19,FALSE,,
"""idl""",19,FALSE,,
"""ico""",19,FALSE,,
"""zip""",19,FALSE,,
