language_group,num_repos,median_before,median_after,median_delta,wilcoxon_statistic,wilcoxon_pvalue,effect_size_rbc,p_value_fdr_bh,reject_fdr_0_05
JavaScript/TypeScript,74,9.233333333333333,14.683333333333334,1.333333333333333,1003.5,0.03857261745954685,0.16216216216216217,0.1646227287814769,False
C/C++,11,16.566666666666666,4.4,-4.733333333333334,13.0,0.0830078125,-0.45454545454545453,0.1646227287814769,False
Python,47,5.533333333333333,11.266666666666667,0.5666666666666664,408.0,0.09877363726888613,0.19148936170212766,0.1646227287814769,False
Web,12,2.5,3.916666666666667,-1.5666666666666667,31.0,0.5693359375,-0.16666666666666666,0.6377957465157298,False
Go,22,3.4333333333333336,3.2,-0.38333333333333336,112.0,0.6377957465157298,-0.18181818181818182,0.6377957465157298,False
