language_group,num_repos,median_delta,mean_delta
C/C++,11,-4.733333333333334,-7.157575757575757
Go,22,-0.38333333333333336,9.253030303030302
JavaScript/TypeScript,74,1.333333333333333,10.917567567567568
Python,47,0.5666666666666664,6.960992907801417
Web,12,-1.5666666666666667,2.541666666666666
