group,metric,delay,n_repos,mean_pre,mean_post,mean_diff,median_diff,t_stat,p_value,significant,period
Javascript,gross_churn,0,68,2942.9066722496214,3898.7492830322212,955.8426107825999,82.81842532467533,1.035875400232255,0.3039846137856177,False,weeks
Javascript,net_added,0,68,1571.2262850796226,1683.0770793121892,111.85079423256677,95.15319865319866,0.2816636149267432,0.7790695952138946,False,weeks
Javascript,net_removed,0,68,441.30578299519135,991.667535410893,550.361752415702,0.3069940476190476,0.7682468574469747,0.44503994051318463,False,weeks
Javascript,net_negative_commits,0,68,-1129.920502084431,-691.4095439012959,438.5109581831352,-53.17023601398601,0.5923910435366159,0.5555828002370413,False,weeks
Javascript,add_delete_ratio,0,68,16.698682356964124,52.5518397412475,35.853157384283364,0.32457825294592924,0.8568129726763564,0.3946025287526571,False,weeks
Javascript,total_commits,0,68,9.434244551238331,10.571866831508732,1.137622280270404,0.16404428904428908,0.5956940950733033,0.5533866255281283,False,weeks
Javascript,files_touched_per_commit,0,68,3.5821691002813103,5.10927095964168,1.5271018593603674,0.14663731680777137,1.0915312936862938,0.2789488720896574,False,weeks
Python,gross_churn,0,49,1581.7312291177789,2966.5720427512824,1384.8408136335024,43.71598877980365,1.1996115592873728,0.23617822932501897,False,weeks
Python,net_added,0,49,867.1996055413723,1138.354087858702,271.15448231732984,36.0,1.2743025886391242,0.20869125430604651,False,weeks
Python,net_removed,0,49,214.2080941294925,1258.466725067784,1044.2586309382912,2.52,0.9322473772782758,0.3558743594945328,False,weeks
Python,net_negative_commits,0,49,-652.9915114118801,120.11263720908161,773.1041486209617,-42.513888888888886,0.6733170947906179,0.5039747888696409,False,weeks
Python,add_delete_ratio,0,49,35.05283579885561,14.440162071079127,-20.61267372777649,1.282490833375586,-1.5480663382828777,0.12817498370072095,False,weeks
Python,total_commits,0,49,7.553227662774997,8.235041146968731,0.6818134841937344,0.10121457489878544,0.5968658930212208,0.5534019284195278,False,weeks
Python,files_touched_per_commit,0,49,2.6145346785731647,20.95387739959914,18.33934272102598,0.14627013064074745,1.007660591831688,0.31867027666348213,False,weeks
